join_key,district_name,mean,se,ci_low,ci_high,n_unweighted
101,Chitipa,0.04178260025713419,0.007959554325617586,0.026181873778923725,0.05738332673534466,616
102,Karonga,0.05210170812352228,0.013185466247780006,0.026258194277873466,0.07794522196917109,637
103,Nkhata Bay,0.03462405076760328,0.008013348802240302,0.018917887115212292,0.050330214419994274,658
104,Rumphi,0.039190786328613544,0.010922284628846056,0.017783108456075274,0.060598464201151815,580
105,Mzimba,0.07657113544369284,0.011120396059671819,0.05477515916673608,0.0983671117206496,417
106,Likoma,0.05554215235816358,0.011354747275755745,0.03328684769768232,0.07779745701864484,399
107,Mzuzu City,0.037558789923094645,0.015439919604725303,0.007296547497833053,0.06782103234835624,181
201,Kasungu,0.05663624527904115,0.013144766335108344,0.0308725032622288,0.0823999872958535,592
202,Nkhotakota,0.08666469898352558,0.014795952315960051,0.05766463244424388,0.11566476552280727,640
203,Ntchisi,0.049153524188935795,0.007980823022608418,0.033511111064623296,0.06479593731324829,557
204,Dowa,0.10996166354656779,0.020598513736034593,0.06958857662394,0.1503347504691956,582
205,Salima,0.09991452775617547,0.017549442764516723,0.0655176199377227,0.13431143557462824,608
206,Lilongwe Rural,0.1361705750109028,0.024114205628621203,0.08890673197880523,0.18343441804300037,435
207,Mchinji,0.06881606954686459,0.012472005475399034,0.044370938815082486,0.09326120027864669,577
208,Dedza,0.07799918698689565,0.015856147077688978,0.04692113871462525,0.10907723525916604,605
209,Ntcheu,0.08109968395244684,0.015291054149134535,0.05112921782014315,0.11107015008475052,594
210,Lilongwe City,0.04012780633276941,0.01387672902116064,0.012929417451294556,0.06732619521424427,257
301,Mangochi,0.07193358757366376,0.015354058415516294,0.04183963307925183,0.1020275420680757,604
302,Machinga,0.0561083257997745,0.012513461088739174,0.03158194206584572,0.08063470953370327,596
303,Zomba Rural,0.06286530933697856,0.009828929159768837,0.04360060818383164,0.08213001049012549,491
304,Chiradzulu,0.051792656407174564,0.009684375307460042,0.03281128080455288,0.07077403200979625,576
305,Blantyre Rural,0.04777767177166296,0.011306203372129661,0.025617513162288826,0.0699378303810371,276
306,Mwanza,0.06864983920925938,0.01160120491029603,0.04591147758507916,0.0913882008334396,611
307,Thyolo,0.0765924937088787,0.01643086556366487,0.04438799720409556,0.10879699021366185,605
308,Mulanje,0.05110729738157675,0.00905526485622641,0.03335897826337299,0.06885561649978052,615
309,Phalombe,0.05315905297662899,0.011635692604509895,0.030353095471789597,0.07596501048146839,601
310,Chikwawa,0.06654169598870219,0.010919617056062576,0.04513924655881954,0.08794414541858483,570
311,Nsanje,0.05639648004630626,0.009083997757777146,0.03859184444106306,0.07420111565154947,570
312,Balaka,0.05885967914927249,0.012683674897618616,0.03399967634994,0.08371968194860498,606
313,Neno,0.05237519731530397,0.014548719060460211,0.023859707956801954,0.08089068667380599,567
314,Zomba City,0.034614212281688664,0.013948251510596279,0.007275639320919958,0.06195278524245737,109
315,Blantyre City,0.031105882952626385,0.009114073600948949,0.013242298694766445,0.048969467210486325,447
