outcome,dimension,group,n_unweighted,mean,se,ci_low,ci_high
fls_all,wealth_q5,1,2042,0.46137416694726097,0.010148775360810894,0.44148293275288414,0.4812654011416378
fls_all,wealth_q5,2,2122,0.5187620525566442,0.010043176329866598,0.4990777886597205,0.5384463164535679
fls_all,wealth_q5,3,2378,0.5659266654456911,0.009590866308357893,0.547128912900771,0.5847244179906113
fls_all,wealth_q5,4,2422,0.6111531359362101,0.009886074540361367,0.5917767858886235,0.6305294859837968
fls_all,wealth_q5,5,2224,0.7373073723780988,0.011239678762866238,0.7152780068050814,0.7593367379511163
fls_all,sex_cat,1,5391,0.5494997457006385,0.007869654633414835,0.5340755060483767,0.5649239853529003
fls_all,sex_cat,2,5797,0.6016149509294226,0.007669200407699989,0.5865835943401108,0.6166463075187345
fls_all,region,1,2281,0.634329498946364,0.011892162795347301,0.6110212881691962,0.6576377097235319
fls_all,region,2,3625,0.5589626499362081,0.01029614477022658,0.5387825770069536,0.5791427228654626
fls_all,region,3,5282,0.5780642482100182,0.007632130935989926,0.563105546450184,0.5930229499698525
fls_all,urban,1,1509,0.7047075933311705,0.01749528417109734,0.670417466456526,0.738997720205815
fls_all,urban,2,9679,0.5548934972958639,0.00599546405008674,0.5431426036870892,0.5666443909046386
fls_lit,wealth_q5,1,2042,0.443185742333783,0.014397288356001573,0.414967575680982,0.47140390898658396
fls_lit,wealth_q5,2,2122,0.5103528756517872,0.013236886206661747,0.4844090554192752,0.5362966958842993
fls_lit,wealth_q5,3,2378,0.5533247774368799,0.012240594161990616,0.5293336537300071,0.5773159011437528
fls_lit,wealth_q5,4,2422,0.612886035003343,0.011750135171258207,0.5898561932541996,0.6359158767524865
fls_lit,wealth_q5,5,2224,0.7445573783044754,0.013403774432116678,0.7182864631606279,0.7708282934483229
fls_lit,sex_cat,1,5391,0.537368923836586,0.009910668451047305,0.5179443706098159,0.556793477063356
fls_lit,sex_cat,2,5797,0.6012928920180379,0.008952799929172561,0.5837457265960669,0.6188400574400089
fls_lit,region,1,2281,0.631477194015393,0.014802489746444127,0.6024648472308392,0.6604895407999469
fls_lit,region,2,3625,0.5574556858666506,0.011754086454896088,0.5344180997438842,0.580493271989417
fls_lit,region,3,5282,0.5666919866809531,0.009703529044716665,0.54767341923037,0.5857105541315362
fls_lit,urban,1,1509,0.7126634575936885,0.018810282058846352,0.6757959822193098,0.7495309329680673
fls_lit,urban,2,9679,0.5461346927923985,0.007311131661716993,0.5318051380492027,0.5604642475355942
fls_num,wealth_q5,1,2042,0.46690452271112975,0.014127653099451866,0.43921483145012846,0.49459421397213105
fls_num,wealth_q5,2,2122,0.5537423788884976,0.013936028007407801,0.5264282659064369,0.5810564918705584
fls_num,wealth_q5,3,2378,0.6135386491722951,0.01145001743433241,0.5910970273786478,0.6359802709659423
fls_num,wealth_q5,4,2422,0.664202444159302,0.011350675049390552,0.6419555298622791,0.6864493584563248
fls_num,wealth_q5,5,2224,0.7894513656705568,0.009707974481429148,0.7704240853241218,0.8084786460169919
fls_num,sex_cat,1,5391,0.5880650885462875,0.009983611038916077,0.5684975704743555,0.6076326066182195
fls_num,sex_cat,2,5797,0.640841709336536,0.008880152897609999,0.6234369294800114,0.6582464891930605
fls_num,region,1,2281,0.6747358318307123,0.013400045557273454,0.6484722251472603,0.7009994385141642
fls_num,region,2,3625,0.5925572422916122,0.013543932833782822,0.5660116217283684,0.619102862854856
fls_num,region,3,5282,0.6219016107686193,0.009657435002910058,0.602973385979879,0.6408298355573595
fls_num,urban,1,1509,0.7492510745571436,0.016192297601400948,0.7175147544314434,0.7809873946828437
fls_num,urban,2,9679,0.5925360034165625,0.00814784523203457,0.5765665202101684,0.6085054866229567
